ra,dec,source_id,catalog_mag
30.9723165028496,69.8989360689099,521926315596051840,15.9105
31.97282275729710,69.97510949783200,521884469732375040,15.752
31.4113556625444,69.98067054064300,521886840554333056,13.5801
32.7184553676797,69.9182060169849,521891582198549504,16.4907
34.0907098314102,69.9834608844463,521226583821574784,16.688999
34.0912621821708,69.9845191386805,521226583821573888,16.677099
34.4875769592039,69.9005578572287,521223555868470528,16.289101000000000
37.2361125690391,69.9609465551312,545011494232225280,16.5961
40.654072317304900,69.9504321323075,542055319780798080,14.597
41.7198332119587,69.9382415585832,542008311362072832,16.817699000000000
42.0020776493174,69.9099203048638,541997041367288832,16.302
42.632595951067,69.9875910067272,542018962881042816,16.8696
43.2831267158613,69.94431227578,541832565596467840,16.8181
47.5713918916509,69.9067369419532,541488452818247040,16.058001
47.5763436717083,69.9838556773175,541491197300191616,16.0467
51.3065832967846,69.9404805908153,542714889319553792,16.650499
52.0926594224682,69.9521400084836,542724510046258816,15.9615
52.266815791673100,69.927936679827,542723479254303872,16.721001
53.1772822971641,69.9952688961317,494688874253512960,16.385401
53.8510788830335,69.9460253220246,494767454974669568,14.774
58.6205065912111,69.9310870977609,494850261945272064,16.3848
58.616691047095400,69.8962084671512,494849334232348480,16.009701
59.0764062403896,69.9328654002847,494870018795092096,16.544701
62.0570766248487,69.9415799108803,494169286290190976,15.9825
69.72126336007360,69.95276342780380,496796672403901312,15.2535
68.89220432387530,68.9172824516625,496671706035886016,16.452101000000000
69.34135113296740,69.05871531177690,496674523534636800,16.436399000000000
69.6560808865754,68.1409244152954,495639333336626432,16.935499
69.5726147719497,69.4378244351446,496719053755104256,16.9489
69.7392081706684,68.20718886833880,495827830862193024,15.7113
62.2401538835576,69.3494572107448,493928699401631104,15.6729
62.099028529516300,69.1831293546303,493873895619008384,13.4062
62.2715665554162,68.5310945260227,490839862001576448,16.9564
62.5279365683879,68.0676249154214,490674965320343296,15.9953
62.3740375500722,69.03876898315500,493856612670838272,16.7498
62.510040911125300,69.2090966510347,493876335160386432,15.9039
62.82936846903320,68.716497571292,490848658094547200,16.0721
62.807060824110100,68.6244475156721,490830344354015872,16.970301
62.6838117010038,68.6074365810225,490830172555332096,16.2875
62.7584270713834,68.1364364374591,490769287099473920,16.7708
62.893463526643700,68.3278263566498,490774406700428416,15.7273
62.9840843489412,69.82843264122750,493980067210266112,15.9887
63.1306671470532,68.21762753082130,490759735092161216,14.5243
63.1279322902114,69.8727087426447,493980616966058624,15.9082
63.2044259445127,68.9715996550506,490855942359033984,16.4177
63.983786819773900,69.6212287794675,493912580390238592,16.435301000000000
63.4794606557131,69.162222546719,493885268692583040,16.5825
63.4788306817261,69.46084465045100,493909698466509568,16.787399
64.97046515740130,69.2326852864536,496877314709724160,16.805401
64.0300229757294,69.7526457861464,499921793688134912,16.503
64.04232015451590,68.0139414905798,490557287513358464,16.1425
64.2812561652989,68.1252106707972,490593296519122048,16.517
64.175341152599,69.3057934075118,490890645694723328,15.1881
64.2749631977288,69.56567585801110,499904197203896704,16.809999000000000
64.50007018247620,68.8760528744417,490818558963882816,16.1406
64.3777613591654,68.8151293694279,490817734330196096,16.8326
64.7252275463605,68.89616159258180,490817322013726720,16.987499
65.0847594213197,69.005656601539,496822888884218496,16.429399
65.0578223513435,68.8107658291023,496808011117534400,16.644899
65.2743487301254,68.3848071953491,490591612891802240,15.0717
65.28776607925010,69.656479210418,496907001523479296,16.6189
65.4824485121234,69.7964865198551,496932324650585088,16.5763
65.7934808689264,69.7710737725117,496928613798822016,16.380899
66.3786512139855,69.2804302677666,496844776037664896,16.607599
66.26478062578,69.3108981333784,496856733226275072,16.2467
66.25438906079120,69.5412416322109,496911124692027520,16.5103
66.20403463067560,69.7676912172861,496917618682507648,16.0264
66.5861878036807,69.0305788028544,496650059399961280,14.3084
66.0667408753598,69.0755250831794,496815879497728896,16.3491
66.039985304929,69.4588948857094,496862123407005184,16.9529
66.89620407244400,68.77677018496950,496628275326163968,16.6098
66.8858099312069,68.92903940757210,496635112913773184,16.964001
67.1587392379341,69.8853853300615,497015715736327424,16.6539
67.19315451883060,69.60139498210670,496867762702562176,16.555599
67.2759224297844,69.3951521368673,496849929998372864,16.710501
67.1647198953906,68.81698884203320,496583229709125632,16.728001000000000
67.1089429740327,68.0645574354818,495776531772190848,16.9575
67.02283095673270,68.0493524174113,495776463052348032,15.6868
67.2068054452399,68.0085106847485,495763646869932928,16.4806
67.026534920541,68.0019958409154,495763097114133760,16.845699
67.3700256893237,69.4613118368081,496851373107370496,16.7255
67.3840402831803,69.16199078692660,496656072354129280,16.804399
67.4688868900755,69.05241950627660,496641332026604416,16.864599
