,ra,dec,source_id,catalog_mag,visibility
0,30.9723165028496,69.8989360689099,521926315596051840,15.9105,0
1,31.9728227572971,69.975109497832,521884469732375040,15.752,0
2,31.4113556625444,69.980670540643,521886840554333056,13.5801,0
3,32.7184553676797,69.9182060169849,521891582198549504,16.4907,0
4,34.0907098314102,69.9834608844463,521226583821574784,16.688999,0
5,34.0912621821708,69.9845191386805,521226583821573888,16.677099,0
6,34.4875769592039,69.9005578572287,521223555868470528,16.289101,0
7,37.2361125690391,69.9609465551312,545011494232225280,16.5961,0
8,40.654072317304895,69.9504321323075,542055319780798080,14.597,0
9,41.7198332119587,69.9382415585832,542008311362072832,16.817699,0
10,42.0020776493174,69.9099203048638,541997041367288832,16.302,0
11,42.632595951067,69.9875910067272,542018962881042816,16.8696,0
12,43.2831267158613,69.94431227578,541832565596467840,16.8181,0
13,47.5713918916509,69.9067369419532,541488452818247040,16.058001,0
14,47.5763436717083,69.9838556773175,541491197300191616,16.0467,0
15,51.3065832967846,69.9404805908153,542714889319553792,16.650499,0
16,52.0926594224682,69.9521400084836,542724510046258816,15.9615,0
17,52.2668157916731,69.927936679827,542723479254303872,16.721001,0
18,53.1772822971641,69.9952688961317,494688874253512960,16.385401,0
19,53.8510788830335,69.9460253220246,494767454974669568,14.774,0
20,58.6205065912111,69.9310870977609,494850261945272064,16.3848,0
21,58.6166910470954,69.8962084671512,494849334232348480,16.009701,0
22,59.0764062403896,69.9328654002847,494870018795092096,16.544701,0
23,62.0570766248487,69.9415799108803,494169286290190976,15.9825,0
24,69.7212633600736,69.9527634278038,496796672403901312,15.2535,0
25,68.8922043238753,68.9172824516625,496671706035886016,16.452101,0
26,69.3413511329674,69.0587153117769,496674523534636800,16.436399,0
27,69.6560808865754,68.1409244152954,495639333336626432,16.935499,0
28,69.5726147719497,69.4378244351446,496719053755104256,16.9489,0
29,69.7392081706684,68.2071888683388,495827830862193024,15.7113,0
30,62.2401538835576,69.3494572107448,493928699401631104,15.6729,0
31,62.0990285295163,69.1831293546303,493873895619008384,13.4062,0
32,62.2715665554162,68.5310945260227,490839862001576448,16.9564,0
33,62.5279365683879,68.0676249154214,490674965320343296,15.9953,0
34,62.3740375500722,69.038768983155,493856612670838272,16.7498,0
35,62.510040911125294,69.2090966510347,493876335160386432,15.9039,0
36,62.8293684690332,68.716497571292,490848658094547200,16.0721,0
37,62.807060824110096,68.6244475156721,490830344354015872,16.970301,0
38,62.6838117010038,68.6074365810225,490830172555332096,16.2875,0
39,62.7584270713834,68.1364364374591,490769287099473920,16.7708,0
40,62.89346352664369,68.3278263566498,490774406700428416,15.7273,0
41,62.9840843489412,69.8284326412275,493980067210266112,15.9887,0
42,63.1306671470532,68.2176275308213,490759735092161216,14.5243,0
43,63.1279322902114,69.8727087426447,493980616966058624,15.9082,0
44,63.2044259445127,68.9715996550506,490855942359033984,16.4177,0
